"activity_name" "subject" "mean" "standard_deviation"
"WALKING_UPSTAIRS" 7 -0.427408293255387 0.478540060673154
"LAYING" 8 -0.627089533537997 0.545034728597714
"SITTING" 8 -0.637726458982249 0.537396319436466
"STANDING" 8 -0.639463722621354 0.537246227657684
"WALKING" 8 -0.299755499867352 0.460017349338389
"WALKING_DOWNSTAIRS" 8 -0.19351985419359 0.458315721727031
"WALKING_UPSTAIRS" 8 -0.293377815632218 0.464168513927902
"LAYING" 9 -0.628414047268328 0.529590401641219
"SITTING" 9 -0.627530823653232 0.524008096161743
"STANDING" 9 -0.633713631013694 0.525561632075246
"WALKING" 9 -0.37164660578822 0.466851029370005
"WALKING_DOWNSTAIRS" 9 -0.313140747277053 0.475403985806937
"WALKING_UPSTAIRS" 9 -0.427075431896002 0.480427413609119
"LAYING" 10 -0.633606314208568 0.537663971514645
"SITTING" 10 -0.640078551091241 0.541767721119004
"STANDING" 10 -0.630886542166037 0.52628580504754
"WALKING" 10 -0.327086776127028 0.458817378890482
"WALKING_DOWNSTAIRS" 10 -0.263162073365728 0.462924230349691
"WALKING_UPSTAIRS" 10 -0.345652600356602 0.46264018382905
"LAYING" 11 -0.643553031373099 0.539081056546079
"SITTING" 11 -0.636081608692102 0.535621441438072
"STANDING" 11 -0.648374467923916 0.535724546625412
"WALKING" 11 -0.431366510871248 0.477473286403762
"WALKING_DOWNSTAIRS" 11 -0.348717448293558 0.476747708085623
"WALKING_UPSTAIRS" 11 -0.43527506672087 0.494240186228959
"LAYING" 12 -0.63012919397725 0.528246904010081
"SITTING" 12 -0.636301750626951 0.525759482950689
"STANDING" 12 -0.627684013763497 0.529746405730603
"WALKING" 12 -0.355560155447154 0.465519250284771
"WALKING_DOWNSTAIRS" 12 -0.311490436338625 0.478674931168253
"WALKING_UPSTAIRS" 12 -0.42179157558609 0.479755988325013
"LAYING" 13 -0.624337936876007 0.553261783608322
"SITTING" 13 -0.638179130162868 0.542582404107378
"STANDING" 13 -0.639297749080434 0.534710111205175
"WALKING" 13 -0.316988827925179 0.460443467124536
"WALKING_DOWNSTAIRS" 13 -0.317234723087439 0.462778719573252
"WALKING_UPSTAIRS" 13 -0.411582073864772 0.480970716037513
"LAYING" 14 -0.628355645282404 0.529486813512467
"SITTING" 14 -0.639930771868791 0.527567136601348
"STANDING" 14 -0.633771114374627 0.529906004974341
"WALKING" 14 -0.385501824502105 0.45968546890816
"WALKING_DOWNSTAIRS" 14 -0.203378373864087 0.474361292243187
"WALKING_UPSTAIRS" 14 -0.285486358859423 0.511540830491941
"LAYING" 15 -0.639883147448173 0.530792143986169
"SITTING" 15 -0.641496217339585 0.536630985102847
"STANDING" 15 -0.640037091389994 0.531467473279671
"WALKING" 15 -0.390526282476396 0.470510181492145
"WALKING_DOWNSTAIRS" 15 -0.280227328116279 0.478486441157069
"WALKING_UPSTAIRS" 15 -0.393720911542089 0.480931127195341
"LAYING" 16 -0.635906117499551 0.540323349648981
"SITTING" 16 -0.642254023210701 0.540178858680834
"STANDING" 16 -0.646538416475197 0.535550012539449
"WALKING" 16 -0.431362808379042 0.476755763991749
"WALKING_DOWNSTAIRS" 16 -0.339080301791712 0.479888850285611
"WALKING_UPSTAIRS" 16 -0.440146451770759 0.484783318302706
"LAYING" 17 -0.629876420657766 0.543626738044884
"SITTING" 17 -0.643707360983648 0.546610147888165
"STANDING" 17 -0.644675070329398 0.540903408721188
"WALKING" 17 -0.387039462708526 0.470920054849165
"WALKING_DOWNSTAIRS" 17 -0.365194496888334 0.482449522051402
"WALKING_UPSTAIRS" 17 -0.401431355861112 0.478998337361932
"LAYING" 18 -0.645039855011435 0.53942762167992
"SITTING" 18 -0.650240242162375 0.533919378066671
"STANDING" 18 -0.645518459042212 0.530526278445388
"WALKING" 18 -0.436306077297177 0.473585274580348
"WALKING_DOWNSTAIRS" 18 -0.438663811185222 0.484215947648354
"WALKING_UPSTAIRS" 18 -0.470681472754459 0.489634709403236
"LAYING" 19 -0.632999218754884 0.545974424520676
"SITTING" 19 -0.638986666530727 0.531619663075652
"STANDING" 19 -0.640136697217531 0.530686168878853
"WALKING" 19 -0.238252786596887 0.44082929819233
"WALKING_DOWNSTAIRS" 19 -0.078306398113335 0.492827457105377
"WALKING_UPSTAIRS" 19 -0.316821118319495 0.457551454667554
"LAYING" 20 -0.644397438696908 0.531836656565045
"SITTING" 20 -0.639872725383092 0.527296527350763
"STANDING" 20 -0.620027732157146 0.5231348434365
"WALKING" 20 -0.259518117088663 0.458066390410144
"WALKING_DOWNSTAIRS" 20 -0.247169665420288 0.471199805584026
"WALKING_UPSTAIRS" 20 -0.338291941451443 0.466608243804557
"LAYING" 21 -0.63110876443376 0.542913956158358
"SITTING" 21 -0.644724493205524 0.533716932061726
"STANDING" 21 -0.638450214241584 0.527551688129529
"WALKING" 21 -0.330648706245588 0.461849102211071
"WALKING_DOWNSTAIRS" 21 -0.291301975673511 0.475197961682253
"WALKING_UPSTAIRS" 21 -0.381967006088137 0.473132486232464
"LAYING" 22 -0.632109081483277 0.533606193648521
"SITTING" 22 -0.634015600138589 0.531547665277242
"STANDING" 22 -0.635992094486953 0.529527188069853
"WALKING" 22 -0.274200987116311 0.459600644231105
"WALKING_DOWNSTAIRS" 22 -0.287664837258693 0.477246755923884
"WALKING_UPSTAIRS" 22 -0.305185521541175 0.468509893281418
"LAYING" 23 -0.628089473591726 0.551084807408448
"SITTING" 23 -0.632843540612456 0.542574974444803
"STANDING" 23 -0.637024168810267 0.530614872170684
"WALKING" 23 -0.265296718829829 0.463684322108015
"WALKING_DOWNSTAIRS" 23 -0.20246554081645 0.457022857171069
"WALKING_UPSTAIRS" 23 -0.369581312588007 0.466748325690181
"LAYING" 24 -0.634203387560794 0.541254858556787
"SITTING" 24 -0.646619496620551 0.526455990504798
"STANDING" 24 -0.634194893841734 0.532970898198719
"WALKING" 24 -0.416975175176002 0.47352339633257
"WALKING_DOWNSTAIRS" 24 -0.359085991984149 0.472568672884903
"WALKING_UPSTAIRS" 24 -0.43583828688532 0.473828704167302
"LAYING" 25 -0.589506698496036 0.544964057687106
"SITTING" 25 -0.645307467575153 0.533728563511034
"STANDING" 25 -0.645297950751058 0.52802948313795
"WALKING" 25 -0.460842122215599 0.482327046311638
"WALKING_DOWNSTAIRS" 25 -0.429924410531157 0.480058988996727
"WALKING_UPSTAIRS" 25 -0.48551223324769 0.492649597443408
"LAYING" 26 -0.640679888089531 0.545049780992493
"SITTING" 26 -0.642718508921569 0.537683901663986
"STANDING" 26 -0.644004547265191 0.533218647321812
"WALKING" 26 -0.392008755561813 0.46466543566378
"WALKING_DOWNSTAIRS" 26 -0.322473123490661 0.466734952153954
"WALKING_UPSTAIRS" 26 -0.41167278243368 0.479708726466227
"LAYING" 27 -0.645993647892745 0.539509734899524
"SITTING" 27 -0.647329814034974 0.533508824071913
"STANDING" 27 -0.644356212162637 0.534575417942758
"WALKING" 27 -0.377771272094104 0.468072609771861
"WALKING_DOWNSTAIRS" 27 -0.312446129792811 0.473930878419721
"WALKING_UPSTAIRS" 27 -0.426267052017458 0.48627885912049
"LAYING" 28 -0.640518710327799 0.530502954539759
"SITTING" 28 -0.637322526513564 0.523083322736121
"STANDING" 28 -0.627883524309929 0.519526505344901
"WALKING" 28 -0.393787255237739 0.46766504472612
"WALKING_DOWNSTAIRS" 28 -0.291650876955502 0.462150701341004
"WALKING_UPSTAIRS" 28 -0.401092965937606 0.473162074263714
"LAYING" 29 -0.646324698842316 0.546896540237211
"SITTING" 29 -0.644100724926612 0.539826088274845
"STANDING" 29 -0.650245278868483 0.535731789567113
"WALKING" 29 -0.352894943404783 0.459340474009143
"WALKING_DOWNSTAIRS" 29 -0.31726279115201 0.466381900226203
"WALKING_UPSTAIRS" 29 -0.364429747315138 0.484576594676901
"LAYING" 30 -0.642625296795821 0.528538425232508
"SITTING" 30 -0.646017901904583 0.532360571471511
"STANDING" 30 -0.630635453342216 0.527228585112601
"WALKING" 30 -0.373607524126774 0.45833258390927
"WALKING_DOWNSTAIRS" 30 -0.358790607945901 0.464111501366779
"WALKING_UPSTAIRS" 30 -0.439370730188029 0.489083593833996
